Nr;Kategorie;Frage;Antwort A;Antwort B;Antwort C;Antwort D;Loesung;Paragraf;Begruendung
19;Arbeitsschutz;Darf der BR eine Gefährdungsbeurteilung erzwingen?;Nein;Ja (Initiativrecht);Nur nach Unfall;Nur im Sommer;B;§ 87 Abs. 1 Nr. 7 BetrVG;Der BR hat bei Regelungen über den Gesundheitsschutz ein Initiativrecht, um Gefährdungsbeurteilungen einzufordern.
20;IT-Datenschutz;Darf der AG heimlich GPS im Stapler auswerten?;Ja zur Logistik;Nein (Leistungskontrolle);Nur nachts;Nur bei Diebstahl;B;§ 87 Abs. 1 Nr. 6 BetrVG;Die Einführung von technischen Einrichtungen, die dazu bestimmt sind, das Verhalten oder die Leistung der Arbeitnehmer zu überwachen, ist mitbestimmungspflichtig.
21;Urlaub;Kann der AG Urlaub wegen Personalmangel einfach streichen?;Ja jederzeit;Nein (nur bei Notfällen);Nur bei Azubis;Nur gegen Geld;B;§ 7 BUrlG;Einmal genehmigter Urlaub kann vom AG nur in absoluten, existenzbedrohenden Notfällen widerrufen werden.
22;Arbeitszeit;Gilt Fahrzeit zur Baustelle als Arbeitszeit?;Immer;Oft ja (kommt auf BV/TV an);Nie;Nur für den Fahrer;B;ArbZG / BAG Urteile;Fahrten zwischen Betrieb und wechselnden Einsatzstellen gehören in der Regel zur vergütungspflichtigen Arbeitszeit.
23;Stahl;Wie hoch ist die Mitbestimmung bei Arbeitsschutz?;Gering;Eingeschränkt;Sehr hoch (Zwingend);Gibt es nicht;C;§ 87 Abs. 1 Nr. 7 BetrVG;Der Arbeitsschutz gehört zu den Kernbereichen der erzwingbaren Mitbestimmung des Betriebsrats.
24;Freistellung;Muss man sich beim Chef für BR-Arbeit abmelden?;Nein;Ja (Abmelden & Zurückmelden);Nur bei Meetings;Nur per E-Mail;B;§ 37 Abs. 2 BetrVG;BR-Mitglieder müssen sich für die Durchführung von BR-Tätigkeiten beim Vorgesetzten abmelden und nach Beendigung zurückmelden.
25;Versetzung;Kann eine Versetzung auch eine Lohnkürzung sein?;Immer;Nein;Ja (erfordert Änderungskündigung);Nur bei Azubis;C;§ 2 KSchG;Eine einseitige Lohnkürzung durch Versetzung ist nicht möglich; sie erfordert eine einvernehmliche Änderung oder eine Änderungskündigung.
26;Geheimhaltung;Darf ein BR-Mitglied Betriebsgeheimnisse an Dritte geben?;Ja;Nie (§79 BetrVG);Nur nach Wahl;Nur der Presse;B;§ 79 BetrVG;Die Verschwiegenheitspflicht gilt auch nach dem Ausscheiden aus dem Betriebsrat lebenslang für geschützte Geheimnisse.
27;Ausschuesse;Was macht der Arbeitsschutzausschuss (ASA)?;Feiern planen;Sicherheit prüfen;Lohn verhandeln;Urlaub buchen;B;§ 11 ASiG;Der ASA hat die Aufgabe, Anliegen des Arbeitsschutzes und der Unfallverhütung zu beraten.
28;Arbeitsschutz;Ab welcher Lautstärke ist Gehörschutz Pflicht?;70 dB(A);80-85 dB(A);100 dB(A);120 dB(A);B;LärmVibrationsArbSchV;Ab einem Tages-Lärmexpositionspegel von 85 dB(A) hat der AG die Verwendung von Gehörschutz sicherzustellen.
29;Kuendigung;Darf man während der Krankheit gekündigt werden?;Nein nie;Ja (unter engen Bedingungen);Nur bei Betrug;Nur bei Rauchern;B;KSchG;Krankheit schützt nicht vor Kündigung (z.B. personenbedingte Kündigung bei negativer Gesundheitsprognose möglich).
30;Arbeitszeit;Zählt Umkleidezeit zur Arbeitszeit?;Nie;Oft ja (wenn PSA vorgeschrieben);Nur bei Stahl;Nur in der Nacht;B;BAG Urteile;Wenn das Tragen einer bestimmten Arbeitskleidung vorgeschrieben ist und diese im Betrieb angelegt werden muss, zählt das Umkleiden zur Arbeitszeit.
31;Stahl;Was regelt der Tarifvertrag Eisen/Stahl primär?;Lohn und Arbeitszeit;Nur Urlaub;Nur Kantinenpreise;Die Helmfarbe;A;TV Eisen-Stahl;Tarifverträge regeln die Arbeitsbedingungen (Lohn, Arbeitszeit, Urlaub), die für die tarifgebundenen Unternehmen gelten.
32;Abmahnung;Kann man eine Gegendarstellung schreiben?;Nein;Ja (muss in die Akte);Nur mündlich;Nur über die Gewerkschaft;B;§ 83 Abs. 2 BetrVG;Arbeitnehmer können Erklärungen zur Personalakte abgeben, die der AG zur Akte nehmen muss.
33;Urlaub;Was ist der gesetzliche Mindesturlaub (5-Tage-Woche)?;20 Tage;24 Tage;30 Tage;15 Tage;A;§ 3 BUrlG;Der gesetzliche Mindesturlaub beträgt 24 Werktage (bei einer 6-Tage-Woche), was 20 Arbeitstagen bei einer 5-Tage-Woche entspricht.
34;Betriebsvereinbarung;Wer unterschreibt eine BV?;Alle Kollegen;BR-Vorsitz & AG-Leitung;Nur der Chef;Die Gewerkschaft;B;§ 77 Abs. 2 BetrVG;Betriebsvereinbarungen sind vom Betriebsrat und Arbeitgeber gemeinsam schriftlich niederzulegen und zu unterzeichnen.
35;Ausschuesse;Darf ein Ausschuss eigenständig Verträge schließen?;Nie;Nur bei Übertragung durch Gremium;Immer;Nur mit dem Chef;B;§ 27 Abs. 2 BetrVG;Der BR kann dem Betriebsausschuss Aufgaben zur selbstständigen Erledigung übertragen (außer den Abschluss von BVs).
36;Rechte;Darf der BR an Vorstellungsgesprächen teilnehmen?;Ja (§95);Nur bei Azubis;Nein;Nur als Gast;A;§ 95 BetrVG / § 99;Der BR hat bei personellen Einzelmaßnahmen (Einstellungen) ein umfassendes Informations- und Teilnahmerecht.
37;Arbeitsschutz;Was ist die UVV?;Urlaubsverordnung;Unfallverhütungsvorschrift;Umweltvorschrift;Umsatzvorgabe;B;SGB VII;Unfallverhütungsvorschriften sind für die Versicherten der Berufsgenossenschaften verbindlich geltendes Recht am Arbeitsplatz.
38;Kuendigung;Was passiert bei einer betriebsbedingten Kündigung?;Losentscheid;Sozialauswahl;Chef entscheidet;Würfeln;B;§ 1 KSchG;Bei betriebsbedingten Kündigungen muss der Arbeitgeber eine Sozialauswahl (Dauer der Betriebszugehörigkeit, Lebensalter, Unterhaltspflichten) durchführen.
39;Arbeitszeit;Wie viele Sonntage müssen im Jahr frei bleiben?;Mindestens 10;Mindestens 15;Mindestens 20;Gar keine;B;§ 11 ArbZG;Mindestens 15 Sonntage im Jahr müssen beschäftigungsfrei bleiben.
40;Stahl;Was ist eine Erschwerniszulage?;Geld für Hitze/Schmutz;Geld für Urlaub;Geld für Pendler;Geld für Werkzeug;A;Tarifvertrag;Zulagen für Arbeiten, die unter besonders belastenden Bedingungen (Hitze, Schmutz, Gas) ausgeführt werden.
41;IT-Datenschutz;Muss der BR bei neuen Tablets im Werk zustimmen?;Nein;Ja (Überwachungspotenzial);Nur bei Kamera;Nur bei GPS;B;§ 87 Abs. 1 Nr. 6 BetrVG;Sobald eine technische Einrichtung zur Überwachung von Leistung oder Verhalten geeignet ist, besteht Mitbestimmung.
42;Freistellung;Wie werden BR-Sitzungen bezahlt?;Gar nicht;Wie normale Arbeitszeit;Doppelt;Nur mit Überstunden;B;§ 37 Abs. 2 BetrVG;Mitglieder des Betriebsrats sind von ihrer beruflichen Tätigkeit ohne Minderung des Arbeitsentgelts zu befreien.
43;Versetzung;Darf der BR eine Versetzung ablehnen?;Nie;Ja (bei Verstoß gegen Gesetze);Nur bei Frauen;Nur bei Azubis;B;§ 99 Abs. 2 BetrVG;Der BR kann die Zustimmung verweigern, wenn die Maßnahme gegen ein Gesetz, eine Verordnung oder eine Bestimmung im Tarifvertrag verstößt.
44;Geheimhaltung;Was droht bei Verrat von Betriebsgeheimnissen?;Nichts;Geldstrafe/Kündigung/Haft;Nur Rüge;Urlaubskürzung;B;§ 120 BetrVG;Die Verletzung der Verschwiegenheitspflicht kann mit Freiheitsstrafe bis zu einem Jahr oder Geldstrafe bestraft werden.
45;Betriebsvereinbarung;Wo muss die BV im Betrieb hängen?;Im Safe;An geeigneter Stelle (bekannt);Gar nicht;Nur beim BR;B;§ 77 Abs. 2 BetrVG;Der Arbeitgeber ist verpflichtet, die Betriebsvereinbarungen an geeigneter Stelle im Betrieb auszulegen.
46;Arbeitsschutz;Muss der BR bei der PSA-Farbe mitreden?;Kann er (Trageakzeptanz);Nein;Nur bei Gelb;Nur bei Blau;A;§ 87 Abs. 1 Nr. 7 BetrVG;Der BR bestimmt bei der Ausgestaltung von Arbeitsschutzmaßnahmen mit, was auch die Akzeptanz der Schutzkleidung betrifft.
47;Kuendigung;Gilt der Kündigungsschutz während der Probezeit?;Ja voll;Nein (nur Mindestschutz);Erst nach 1 Jahr;Nur bei Azubis;B;§ 1 KSchG;Der allgemeine Kündigungsschutz nach dem KSchG greift erst nach einer ununterbrochenen Betriebszugehörigkeit von mehr als 6 Monaten.
48;Urlaub;Was ist Sonderurlaub?;Urlaub für Sport;Bezahlte Freistellung (z.B. Geburt);Urlaub ohne Lohn;Urlaub für Haustiere;B;§ 616 BGB;Der Arbeitnehmer hat Anspruch auf bezahlte Freistellung, wenn er für eine verhältnismäßig nicht erhebliche Zeit durch einen in seiner Person liegenden Grund ohne sein Verschulden verhindert ist.
49;Arbeitszeit;Darf der BR die Schichtpläne mitgestalten?;Nein;Ja (volles Recht);Nur bei Nacht;Nur am Wochenende;B;§ 87 Abs. 1 Nr. 2 BetrVG;Die Festsetzung der täglichen Arbeitszeit und die Verteilung auf die Wochentage sowie die Schichtpläne sind zwingend mitbestimmungspflichtig.
50;Mitbestimmung;Muss der AG über geplante Investitionen informieren?;Nein;Ja (im Wirtschaftsausschuss);Nur bei Erfolg;Nur bei Kündigungen;B;§ 106 BetrVG;In Unternehmen mit mehr als 100 Mitarbeitern muss der Wirtschaftsausschuss über Investitionsprogramme rechtzeitig informiert werden.
51;Arbeitszeit;Darf der AG die Zeiterfassung einseitig abschaffen?;Ja;Nein (EuGH-Urteil/BetrVG);Nur bei Führungskräften;Nur in der Verwaltung;B;§ 3 ArbSchG / § 87;Nach der Rechtsprechung ist der AG verpflichtet, ein System zur Erfassung der täglichen Arbeitszeit einzuführen und zu betreiben.
52;Stahl;Was ist ein "Arbeitsdirektor"?;Ein Vorarbeiter;Vorstandsmitglied für Personal;Der BR-Vorsitzende;Ein externer Berater;B;§ 13 MontanMitbestG;Der Arbeitsdirektor ist ein vollwertiges Vorstandsmitglied, das insbesondere für das Personalwesen zuständig ist.
53;Kuendigung;Darf der BR einer Kündigung widersprechen?;Nein;Ja (bei sozialen Gründen);Nur bei Azubis;Nur mündlich;B;§ 102 Abs. 3 BetrVG;Der BR kann ordentlichen Kündigungen innerhalb einer Woche schriftlich widersprechen, wenn soziale Gesichtspunkte nicht ausreichend berücksichtigt wurden.
54;Rechte;Hat der BR ein Recht auf ein eigenes Büro?;Nein;Ja (in erforderlichem Umfang);Nur nach 5 Jahren;Nur im Keller;B;§ 40 Abs. 2 BetrVG;Der Arbeitgeber hat dem Betriebsrat für die Sitzungen, die Sprechstunden und die laufende Geschäftsführung Räume und Sachmittel bereitzustellen.
55;Arbeitsschutz;Wer ernennt die Sicherheitsbeauftragten?;Nur der Chef;AG nach Anhörung des BR;Die Krankenkasse;Der Werksarzt;B;§ 22 SGB VII;In Betrieben mit mehr als 20 Beschäftigten hat der AG Sicherheitsbeauftragte unter Mitwirkung des BR zu bestellen.
56;Urlaub;Kann Resturlaub wegen Krankheit verfallen?;Immer;Nein (bis zu 15 Monate nach Jahresende);Ja nach 3 Monaten;Nur bei Kündigung;B;BAG Rechtsprechung;Urlaub, der wegen Langzeiterkrankung nicht genommen werden kann, verfällt erst 15 Monate nach Ende des Urlaubsjahres.
57;Allgemein;Was ist die "Friedenspflicht"?;Kein Streit im BR;Verbot von Streiks während BV;Kein Lärm am Sonntag;Pause für alle;B;§ 74 Abs. 2 BetrVG;Arbeitgeber und Betriebsrat haben alles zu unterlassen, was den Arbeitsablauf oder den Frieden des Betriebs beeinträchtigt (z.B. keine Arbeitskämpfe gegeneinander).
58;IT-Datenschutz;Darf der BR einen Sachverständigen für IT hinzuziehen?;Nein;Ja (nach Vereinbarung mit AG);Nur bei Spionage;Nur wenn er selbst zahlt;B;§ 80 Abs. 3 BetrVG;Der Betriebsrat kann bei Bedarf und nach näherer Vereinbarung mit dem Arbeitgeber Sachverständige hinzuziehen.
59;Gehalt;Was ist eine "übertarifliche Zulage"?;Lohn unter Tarif;Zahlung über dem Tarifniveau;Ein Darlehen;Urlaubsgeld;B;BetrVG allgemein;Zulagen, die über den Tarifvertrag hinausgehen, unterliegen bei der Verteilung der Mitbestimmung des BR gemäß § 87 Abs. 1 Nr. 10.
60;Versetzung;Muss der BR bei einer Versetzung ins Ausland zustimmen?;Nein;Ja (wenn Betrieb im Inland bleibt);Nur bei Flugreisen;Nur bei Managern;B;§ 99 BetrVG;Auch Auslandsentsendungen können Versetzungen sein, wenn das Arbeitsverhältnis zum inländischen Betrieb bestehen bleibt.
61;Gleichstellung;Wer überwacht die Entgeltgleichheit (Männer/Frauen)?;Nur das Finanzamt;Der Betriebsrat;Niemand;Der Zoll;B;§ 80 Abs. 1 Nr. 2a BetrVG;Der BR hat die Aufgabe, die Durchsetzung der tatsächlichen Gleichstellung von Frauen und Männern zu fördern.
62;Arbeitszeit;Darf der AG "Handyverbot am Platz" einseitig anordnen?;Ja;Nein (Ordnungsverhalten im Betrieb);Nur im Büro;Nur für Azubis;B;§ 87 Abs. 1 Nr. 1 BetrVG;Regeln zum Verhalten der Arbeitnehmer im Betrieb (wie private Handynutzung) sind mitbestimmungspflichtig.
63;Stahl;Was regelt die "Eingruppierung"?;Die Parkplatzwahl;Die Zuordnung zu einer Lohnstufe;Den Renteneintritt;Die Schichtfolge;B;§ 99 BetrVG;Die Eingruppierung ist die Einordnung eines Mitarbeiters in eine Entgeltgruppe des Tarifvertrags und ist mitbestimmungspflichtig.
64;Kuendigung;Was ist eine "Änderungskündigung"?;Kündigung mit neuem Angebot;Kündigung wegen Umzug;Namensänderung;Ein Schreibfehler;A;§ 2 KSchG;Der AG kündigt das Arbeitsverhältnis und bietet gleichzeitig die Fortsetzung zu geänderten Bedingungen an.
65;Rechte;Darf der BR während der Arbeitszeit tagen?;Nein;Ja (Grundsatz);Nur nachts;Nur bei Streik;B;§ 30 BetrVG;Die Sitzungen des Betriebsrats finden während der Arbeitszeit statt. Der AG ist rechtzeitig zu informieren.
66;Arbeitsschutz;Darf der BR Alkoholkontrollen erzwingen?;Ja;Nein (Persönlichkeitsrecht);Nur bei Fahrern;Nur im Sommer;B;§ 87 / GG;Alkoholkontrollen greifen tief in das Persönlichkeitsrecht ein und bedürfen einer klaren Rechtsgrundlage oder einer freiwilligen BV.
67;Bildung;Hat jedes BR-Mitglied Anspruch auf Grundlagenschulung?;Nein;Ja (erforderlich);Nur der Vorsitz;Nur nach 4 Jahren;B;§ 37 Abs. 6 BetrVG;Kenntnisse im Betriebsverfassungs- und Arbeitsrecht gelten als grundsätzlich erforderlich für jedes BR-Mitglied.
68;Allgemein;Was ist die "Schwellenzahl"?;Anzahl der Treppen;MA-Zahl für bestimmte BR-Rechte;Lohnuntergrenze;Temperatur im Ofen;B;BetrVG;Viele Rechte des BR (z.B. Freistellungen, Wirtschaftsausschuss) hängen von der Anzahl der regelmäßig beschäftigten Mitarbeiter ab.
69;IT-Datenschutz;Darf der AG den Browserverlauf prüfen?;Immer;Nur bei begründetem Verdacht;Nie;Nur bei IT-lern;B;TDDDG / BDSG;Eine anlasslose Kontrolle des Browserverlaufs ist aufgrund des Datenschutzes und Persönlichkeitsrechts in der Regel unzulässig.
70;Jugend;Ab wie vielen Azubis wird eine JAV gewählt?;Ab 1;Ab 5;Ab 20;Ab 50;B;§ 60 BetrVG;In Betrieben mit mindestens fünf Arbeitnehmern unter 18 Jahren oder Auszubildenden unter 25 Jahren wird eine JAV gewählt.
71;Arbeitszeit;Darf der BR "Überstunden für alle" ablehnen?;Nein;Ja (Mitbestimmungsrecht);Nur im Winter;Nur am Freitag;B;§ 87 Abs. 1 Nr. 3 BetrVG;Der BR kann die Zustimmung zu Überstunden verweigern, wenn z.B. kein dringender Bedarf nachgewiesen ist.
72;Stahl;Was ist eine "Betriebliche Übung"?;Sport im Werk;Gewohnheitsrecht auf Leistungen;Ein Testlauf;Brandschutzübung;B;BGB Rechtsprechung;Wenn der AG eine Leistung (z.B. Weihnachtsgeld) dreimal vorbehaltlos zahlt, entsteht ein Rechtsanspruch für die Zukunft.
73;Kuendigung;Wer hat besonderen Kündigungsschutz?;Jeder nach 10 Jahren;BR-Mitglieder / Schwangere;Nur der Chef;Nur Pendler;B;§ 15 KSchG / § 103 BetrVG;Mitglieder des Betriebsrats genießen einen besonderen Schutz; ihre Kündigung bedarf der vorherigen Zustimmung des BR-Gremiums.
74;Rechte;Darf der BR eine Betriebsversammlung einberufen?;Nein;Ja (einmal pro Kalendervierteljahr);Nur bei Entlassungen;Nur am Wochenende;B;§ 43 BetrVG;Der Betriebsrat hat einmal in jedem Kalendervierteljahr eine Betriebsversammlung einzuberufen und einen Tätigkeitsbericht zu erstatten.
75;Arbeitsschutz;Wer ist für die Erste Hilfe im Betrieb verantwortlich?;Das Rote Kreuz;Der Arbeitgeber;Der BR;Jeder selbst;B;§ 10 ArbSchG;Der Arbeitgeber hat entsprechend der Art der Arbeitsstätte die Maßnahmen zu treffen, die zur Ersten Hilfe erforderlich sind.
76;Personal;Was ist eine "Stellenausschreibung"?;Ein Werbeplakat;Interne/externe Suche nach MA;Eine Kündigung;Ein Zeugnis;B;§ 93 BetrVG;Der BR kann verlangen, dass Arbeitsplätze, die besetzt werden sollen, vor ihrer Besetzung innerhalb des Betriebs ausgeschrieben werden.
77;Gehalt;Darf der AG Lohn einbehalten bei Streik?;Nein;Ja (keine Arbeit, kein Lohn);Nur als Strafe;Nur bei Azubis;B;Arbeitskampfrecht;Während eines rechtmäßigen Streiks ruht das Arbeitsverhältnis; der AG muss für die Streikzeit kein Entgelt zahlen.
78;Allgemein;Was ist das "Hausrecht"?;Recht des BR;Recht des AG am Eigentum;Mietvertrag;Pausenordnung;B;BGB;Der AG übt das Hausrecht aus, darf aber den BR oder Gewerkschaften (§2 BetrVG) nicht unberechtigt am Zugang hindern.
79;Versetzung;Darf der AG einen MA in eine andere Stadt schicken?;Immer;Nur wenn im Arbeitsvertrag vereinbart;Nie;Nur bei Beförderung;B;§ 106 GewO;Das Weisungsrecht erlaubt Versetzungen an andere Orte nur, wenn der Arbeitsvertrag dies nicht ausschließt.
80;Kuendigung;Was ist eine "Verdachtskündigung"?;Kündigung ohne Grund;Kündigung bei dringendem Verdacht;Kündigung bei Krankheit;Ein Irrtum;B;Rechtsprechung;Bei schwerwiegenden Vorwürfen kann ein dringender Verdacht für eine Kündigung ausreichen, wenn der MA vorher angehört wurde.
81;Arbeitszeit;Darf der BR die Einführung von Schichtarbeit fordern?;Nein;Ja (Initiativrecht);Nur bei Hitze;Nur für Azubis;B;§ 87 Abs. 1 Nr. 2 BetrVG;Der BR hat beim "Ob" und "Wie" der Arbeitszeitverteilung (Schichten) ein volles Mitbestimmungs- und Initiativrecht.
82;Stahl;Was ist die "Gefährdungsbeurteilung"?;Lohnprüfung;Analyse von Arbeitsrisiken;Ein Eignungstest;Wetterbericht;B;§ 5 ArbSchG;Der Arbeitgeber muss die mit der Arbeit verbundenen Gefährdungen ermitteln und Maßnahmen des Arbeitsschutzes festlegen.
83;Rechte;Darf der BR die Personalakten einsehen?;Immer;Nur mit Zustimmung des MA;Nie;Nur bei Kündigung;B;§ 83 Abs. 1 BetrVG;Der MA hat das Recht auf Einsicht und kann ein Mitglied des Betriebsrats zur Unterstützung hinzuziehen.
84;Jugend;Darf die JAV an BR-Sitzungen teilnehmen?;Nein;Ja (zu ihren Themen);Immer mit Stimmrecht;Nur als Gast ohne Wort;B;§ 67 BetrVG;Die JAV kann zu Besprechungen entsandt werden, die Angelegenheiten betreffen, die besonders die jugendlichen Arbeitnehmer betreffen.
85;Gehalt;Was ist "Entgeltfortzahlung"?;Lohn bei Krankheit;Bonus;Abfindung;Vorschuss;A;EntgFG;Der AG muss im Krankheitsfall das Entgelt für bis zu sechs Wochen weiterzahlen.
86;Allgemein;Was ist eine "Einigungsstelle"?;Ein Café;Internes Schiedsgericht bei Konflikten;Die Kantine;Das Arbeitsgericht;B;§ 76 BetrVG;Bei Meinungsverschiedenheiten zwischen AG und BR wird bei Bedarf eine Einigungsstelle zur Beilegung des Konflikts gebildet.
87;Arbeitsschutz;Muss der BR Unfälle untersuchen?;Nein;Ja (Teil der Überwachungspflicht);Nur bei Tod;Nur bei Azubis;B;§ 80 Abs. 1 Nr. 1 BetrVG;Der BR hat darüber zu wachen, dass die zugunsten der Arbeitnehmer geltenden Unfallverhütungsvorschriften durchgeführt werden.
88;Bildung;Darf der Chef eine Schulung ablehnen?;Nie;Ja (wenn nicht erforderlich);Nur wenn er keine Lust hat;Nur bei Stahl;B;§ 37 Abs. 6 BetrVG;Der AG kann die Erforderlichkeit prüfen; im Streitfall entscheidet die Einigungsstelle oder das Gericht.
89;Personal;Darf der BR einen eigenen Anwalt wählen?;Nein;Ja (bei Rechtsstreit gegen AG);Nur bei Streik;Nur privat;B;§ 40 Abs. 1 BetrVG;Die durch die Tätigkeit des Betriebsrats entstehenden Kosten (auch Anwaltskosten bei Verfahren) trägt der Arbeitgeber.
90;Arbeitszeit;Sind Pausen von 15 Min. Pflicht?;Erst nach 10 Std.;Ab 6 Std. Arbeitszeit;Nie;Nur bei Hitze;B;§ 4 ArbZG;Die Arbeit ist durch im Voraus feststehende Ruhepausen von mindestens 30 Min. (bei >6 Std.) oder 45 Min. (bei >9 Std.) zu unterbrechen.
91;Stahl;Was ist eine "Konzernbetriebsvereinbarung"?;Gilt für eine Abteilung;Gilt für den ganzen Konzern;Gilt nur für Chefs;Gilt nur für Fremdfirmen;B;§ 58 BetrVG;Der Konzernbetriebsrat kann Regelungen treffen, die konzerneinheitlich für alle beteiligten Unternehmen gelten.
